author,nid,affiliation,google_scholar_ID
Adina Sterling,9372,"Stanford University, Graduate School of Business","""48jTyi4AAAAJ"""
Adriana Kugler,8756,"Professor, Georgetown University","""y5PAIyUAAAAJ"""
Al Camarillo,8758,Missing,Missing
Alberto Diaz-Cayeros,8995,"Senior Fellow, Stanford University","""Z7xXzgkAAAAJ"""
Alisa Lewin,8761,"Department of Sociology, University of Haifa","""qXkt9YcAAAAJ"""
Alison Morantz,8999,Missing,Missing
Ann Dryden Witte,8768,Missing,Missing
Anna Chmielewski,8770,"Associate Professor, Ontario Institute for Studies in Education, University of Toronto","""9kIld5sAAAAJ"""
Anne Morrison Piehl,8772,No affiliations available,"""qFYCdZ4AAAAJ"""
Annette Lareau,8773,University of Pennsylvania,"""wzzVOIoAAAAJ"""
Anthony Antonio,8774,"professor of education, stanford university","""MIeXZAsAAAAJ"""
Anthony Heath,8775,"Professor of Sociology, Oxford University","""73fjh3wAAAAJ"""
Anthony M. Orum,8776,"Professor Emeritus of Sociology, University of Illinois at Chicago","""nPFiWG4AAAAJ"""
Arloc Sherman,8777,Missing,Missing
Arnold Milstein,8778,Stanford University,"""tpN8G8oAAAAJ"""
Arthur Sakamoto,8779,"Professor of Sociology, Texas A&M University","""6BMbxrcAAAAJ"""
Asad L. Asad,10259,NaN,"""ZVfJdNQAAAAJ"""
Avery (Pete) Guest,9004,Missing,Missing
Avner Greif,8780,Professor of Economics,"""-Ie61WQAAAAJ"""
Barbara Fried,8782,Missing,Missing
Barbara Voss,8783,Stanford University,"""ld9-jzUAAAAJ"""
Barry Maguire,9739,Stanford University,"""dxdL8YQAAAAJ"""
Bart Landry,9005,Missing,Missing
Becky Pettit,8784,Missing,Missing
Brigitte Madrian,8789,"Dean and Marriott Distinguished Professor, Marriott School of Business, Brigham Young ‚Ä¶","""hSs-qMQAAAAJ"""
Bruce Owen,8791,"Doyle Professor in Public Policy, Emeritus, Stanford University","""KUzRlHIAAAAJ"""
Canice Prendergast,8795,Missing,Missing
Carlos-Antonio-Costa Ribeiro,9006,Universidade do Estado do Rio de Janeiro,"""c5lHij8AAAAJ"""
Caroline Whistler,8982,Missing,Missing
Cecilia Ridgeway,8799,"Professor of Sociology, Stanford University","""3dgdhF4AAAAJ"""
Cecilia Elena Rouse,8798,Missing,Missing
Charles Halaby,9007,Missing,Missing
Charles Hirschman,8800,"Department of Sociology, University of Washington","""xuSfYUcAAAAJ"""
Charles Varner,8802,Missing,Missing
Christine Percheski,8806,Northwestern University,"""x4BXxkAAAAAJ"""
Christine Min Wotipka,8805,Stanford University,"""u_DBScQAAAAJ"""
Christopher R. Taber,9010,NaN,"""mDVf4UoAAAAJ"""
Cornel West,9014,Missing,Missing
Cristobal Young,8810,"Associate Professor of Sociology, Cornell University","""yqMR-J4AAAAJ"""
Cybelle Fox,9015,"Professor of Sociology, University of California, Berkeley","""mibOLpQAAAAJ"""
Cynthia Fuchs Epstein,9016,Graduate Center CUNY,"""9CYGvmYAAAAJ"""
Dale T. Miller,8811,NaN,"""gesfW8sAAAAJ"""
Daniel S. Hamermesh,8815,NaN,"""BiVYxyIAAAAJ"""
Daniel Philip Kessler,9017,NaN,"""Uf9s1vAAAAAJ"""
Daniel Lichter,8814,"Ferris Family Professor, Cornell Brooks School of Public Policy, Cornell University","""6-C8WyIAAAAJ"""
David Betson,9328,Missing,Missing
David Featherman,9018,Missing,Missing
David Grusky,8818,Missing,Missing
David J. Halle,9020,Missing,Missing
David S. Lee,8823,NaN,"""4Z9et2IAAAAJ"""
David Pedulla,8821,"Professor, Harvard University","""S61PPWYAAAAJ"""
Deborah Prentice,8824,Missing,Missing
Debra Meyerson,8827,Missing,Missing
Debra Satz,9023,Stanford University,"""XnyfOwMAAAAJ"""
Derek Allen Neal,8829,"Professor of Economics, University of Chicago","""-zDt7xYAAAAJ"""
Devah Pager,9025,"Professor of Sociology & Public Policy, Harvard University","""S4hBc-cAAAAJ"""
Domenico Parisi,8830,NaN,"""tzv9Vd8AAAAJ"""
Donald J. Treiman,9026,"Distinguished Professor of Sociology Emeritus, UCLA","""DYZUS1wAAAAJ"""
Dorian T. Warren,9029,No affiliations available,"""tIKwLdQAAAAJ"""
Doug McAdam,8832,Missing,Missing
B. Douglas Bernheim,8781,"Professor of Economics, Stanford University","""BrKoyUwAAAAJ"""
Duane Alwin,9030,Professor of Sociology,"""sjzh-AYAAAAJ"""
Eamonn Callan,9031,Stanfor University,"""bX2iIu4AAAAJ"""
Edward B. Montgomery,9034,Dean at Georgetown University,Missing
Edward Nathan Wolff,8834,No affiliations available,"""b1joKF4AAAAJ"""
Eli Berman,9035,"Professor of Economics, UCSD; Research Director, UC Inst. on Global Conflict & ‚Ä¶","""ncd_LOUAAAAJ"""
Elijah Anderson,9036,No affiliations available,"""LvzfDaAAAAAJ"""
Elisabeth Mason,8836,Missing,Missing
Eric Klinenberg,9041,Missing,Missing
Eva Milgrom Meyersson,8843,Stanford University,"""Bv3qyBwAAAAJ"""
Fiona Devine,9045,Head of Alliance Manchester Business School and Professor of Sociology,"""cO06VfsAAAAJ"""
Florencia Torche,8847,"Professor of Sociology, Stanford University","""jeabV8gAAAAJ"""
Francine D. Blau,8848,"Frances Perkins Professor of Economics, Cornell University","""dJstIecAAAAJ"""
Francisco Pedraza,8850,Associate Professor of Political Science,"""Fi3VJKMAAAAJ"""
Francisco O. Ramirez,8849,"Professor of Education, Stanford University","""2X-jYMcAAAAJ"""
Gary Sandefur,9048,"Provost and Professor of Sociology, Oklahoma State University","""PjXs3voAAAAJ"""
Gary Segura,9049,UCLA Luskin School of Public Affairs,"""rWAhr_4AAAAJ"""
Gary Solon,8985,Missing,Missing
George Akerlof,9052,,"""5uKrHqwAAAAJ"""
George Farkas,9053,"University of California, Irvine","""VQZC3yAAAAAJ"""
Gi-Wook Shin,8853,Missing,Missing
Glenn Firebaugh,9056,"Professor of Sociology, Pennsylvania State University","""VdvopeIAAAAJ"""
Gosta Esping-Andersen,9058,"Professor of Sociology. Bocconi University,Milano and Professor Emeritus, Pompeu Fabra ‚Ä¶","""wKNoabEAAAAJ"""
Gregory Acs,8857,Urban Institute,Missing
Guillermina Jasso,9061,"Silver Professor and Professor of Sociology, New York University","""7B6Tw1AAAAAJ"""
Hannah Brueckner,9062,"Professor of Social Research and Public Policy, New York University Abu Dhabi","""PRpHLY4AAAAJ"""
Harold R. Kerbo,9064,Missing,Missing
Heather Haveman,9067,"Professor of Sociology and Business, University of California, Berkeley","""DmZVKkgAAAAJ"""
Henning Hillmann,9069,Missing,Missing
Henry-Louis Gates,9070,"Harvard University, African & African American Research",Missing
Henryk Domanski,9071,No affiliations available,"""d82L418AAAAJ"""
Ira I. Katznelson,9076,Missing,Missing
Ivan Light,9078,No affiliations available,"""r0eVx6gAAAAJ"""
Ivan Szelenyi,9079,Max Weber Emeritus Professor of Social Sciences NYUAD,"""xdKE3-AAAAAJ"""
Jaap Dronkers,9082,Chair International comparative research on educational performance and social inequality,"""p0ABWjAAAAAJ"""
Jacob Hacker,8865,"Stanley Resor Professor of Political Science, Yale University","""-fjTjLQAAAAJ"""
Jaime Riviere,9331,Universidad de Salamanca,"""9up6v8gAAAAJ"""
James Fearon,9083,Stanford University,"""YfIkdAcAAAAJ"""
James House,9084,NaN,"""1hgXY54AAAAJ"""
James Sidanius,9086,Missing,Missing
Jan Pakulski,9088,Missing,Missing
Jason Beckfield,8869,Harvard University,"""pBZDTT0AAAAJ"""
Jayashri Srikantiah,9091,Missing,Missing
Jeffrey Grogger,9094,Missing,Missing
Jens Ludwig,8872,University of Chicago,"""8IWkmnEAAAAJ"""
Jerome Karabel,9100,Missing,Missing
Jesse Rothstein,8874,"Professor of Public Policy and Economics, University of California, Berkeley","""1EKq7zMAAAAJ"""
Jesse Shapiro,9102,,"""dtW0mycAAAAJ"""
Joe R. Feagin,9105,Texas A&M University,"""VcCKqAoAAAAJ"""
John Ferejohn,8877,New York University School of Law,"""1onHCx0AAAAJ"""
John R. Logan,9111,Brown University,"""lZ8iOiwAAAAJ"""
John Meyer,9109,NaN,"""UnN10MEAAAAJ"""
John Mirowsky,9110,"Professor Emeritus, University of Texas, Austin","""zFVAAG4AAAAJ"""
Jonathan Guryan,9115,"Lawyer Taylor Professor of Education and Social Policy, Northwestern University","""uayxeqUAAAAJ"""
Joshua Guild,9118,NaN,Missing
Joy Ann Williamson,9120,Missing,Missing
Julie E. Brines,9122,Missing,Missing
Julie-Berry Cullen,9123,"Professor of Economics, UC San Diego","""G91tImkAAAAJ"""
Karen Jusko,8882,"Assistant Professor of Political Science, Stanford University","""O924n4AAAAAJ"""
Kendra Bischoff,8885,"Associate Professor of Sociology, Cornell University","""iidYa3gAAAAJ"""
Kenneth Shotts,8887,No affiliations available,"""5CFXS04AAAAJ"""
Kevin F. Hallock,9133,"President and Professor of Economics, University of Richmond","""WLzEp2EAAAAJ"""
Kevin T. Leicht,9135,Missing,Missing
Larissa Tiedens,9139,Missing,Missing
Laura Wheaton,8890,Missing,Missing
Lawrence Wu,8893,NaN,"""ye7uvWEAAAAJ"""
Leo Goodman,9141,Professor in the Sociology Department and the Statistics Department at the University of ‚Ä¶,"""QEfafIMAAAAJ"""
Leslie McCall,9142,Missing,Missing
Lillian Rubin,9143,Missing,Missing
Linda Burton,8895,Missing,Missing
Linda Giannarelli,8896,Missing,Missing
Lindsay Owens,9145,"United States Senate, Senator Elizabeth Warren","""3sL7rlIAAAAJ"""
Lisa Catanzarite,9147,Missing,Missing
Lisa Lynch,9148,"Maurice B. Hexter Prof. of Social & Economic Policy, Brandeis University","""FOv-8e0AAAAJ"""
Lisa Sanbonmatsu,9336,Missing,Missing
Luigi Pistaferri,9150,Stanford University,"""I84Ih6cAAAAJ"""
Luis Fraga,9151,NaN,"""mTqUPTMAAAAJ"""
Magnus Nermo,9152,"Professor of Sociology, Stockholm University","""_n5CWawAAAAJ"""
Marianne Page,8899,University of California Davis,"""FDj3jrcAAAAJ"""
Mark Hoffman,10258,"Sociology, Columbia University","""2NF2LjwAAAAJ"""
Mark G. Kelman,8902,Stanford Law School,Missing
Markus J‚àö¬ßntti,8903,NaN,"""OhrsZ3MAAAAJ"""
Marlis Buchmann,9164,"University of Zurich, Department of Sociology and Jacobs Center for Productive Youth ‚Ä¶","""SHzHZVcAAAAJ"""
Mart‚àö‚â†n S‚àö¬∞nchez-Jankowski,8905,NaN,"""gDGs3AcAAAAJ"""
Martin Benavides,9167,NaN,"""QgGouesAAAAJ"""
Mary E. Corcoran,9171,No affiliations available,"""1eXMZW8AAAAJ"""
Mary Pattillo,9172,Northwestern University,"""sxVkryMAAAAJ"""
C. Matthew Snipp,8794,Stanford University,"""inh3RJwAAAAJ"""
Melvin L. Kohn,9175,Missing,Missing
Michael Elsby,9178,University of Edinburgh,"""ZV7rn_IAAAAJ"""
Michael Kirst,9180,"Professor of Education, Stanford UNiveristy","""JyOuw_IAAAAJ"""
Michael Olneck,9181,Missing,Missing
Michael Rosenfeld,8913,No affiliations available,"""cb1NvGUAAAAJ"""
Michael Sobel,9183,Columbia University,"""cuKCFmcAAAAJ"""
Michele Landis Dauber,8915,Missing,Missing
Michele Tertilt,8916,"Professor of Economics, University of Mannheim","""_3a0Bi0AAAAJ"""
Mikk Titma,9186,Missing,Missing
Miles Corak,8917,No affiliations available,"""8Jh6rnUAAAAJ"""
Mitchell Duneier,9187,Missing,Missing
Miyako Inoue,8919,Missing,Missing
Moshe Buchinsky,9190,"Professor of Economics, UCLA","""Z4tHRiwAAAAJ"""
Moshe Semyonov,9191,"Professor of Sociology, Tel Aviv University","""9XO5KrgAAAAJ"""
Nailah Suad Nasir,8920,Missing,Missing
Nan Marie Astone,8921,Missing,Missing
Nan Dirk De Graaf,9193,Official Fellow / Professor of Sociology,"""nTqzQ0oAAAAJ"""
Nan Lin,9194,"professor of sociology, duke university","""HpqAmUcAAAAJ"""
Nancy Denton,9195,Missing,Missing
Nancy Tuma,9196,Missing,Missing
