author,nid,affiliation,google_scholar_ID
Aaron M Pallas,81251,Teachers College/Columbia,"""oi6GPqQAAAAJ"""
Adam Gamoran,28264,University of Wisconsin - Madison,"""pGk5WGgAAAAJ"""
Adia Wingfield,72778,Washington University in St. Louis,Missing
Adrian Raftery,40282,U. Washington,"""QN9RQAYAAAAJ"""
Alan Sica,24388,Pennsylvania State University,Missing
Albert Bergesen,40497,University of Arizona,Missing
Alberto Palloni,77081,University of Wisconsin-Madison,Missing
Aldon D Morris,74475,Northwestern University,Missing
Alejandro Portes,75159,Princeton University,"""P7ocv9gAAAAJ"""
Alex Hicks,28849,Emory University,"""PuOr0VAAAAAJ"""
Alexandra Kalev,51750,Tel Aviv University,"""1U-AfTIAAAAJ"""
Alexandra Killewald,87306,Harvard University,"""_JSLxwgAAAAJ"""
Alexes Harris,92478,University of Washington,"""bhxvJMYAAAAJ"""
Allan Horwitz,71608,Rutgers University,"""x8VbYBoAAAAJ"""
Alondra Nelson,86534,SSRC/Princeton,Missing
Amitai Etzioni,24587,George Washington University,Missing
Amy Binder,91597,University of California - San Diego,"""xBIlEacAAAAJ"""
Andreas Wimmer,98275,Columbia University,"""2q4bmJMAAAAJ"""
Andrew Abbott,23526,University of Chicago,Missing
Andrew Cherlin,44410,John Hopkins University,"""FJdsxHAAAAAJ"""
Andrew G Walder,21200,Stanford University,"""gunBPPcAAAAJ"""
Andrew Penner,95637,University of California - Irvine,"""g_fOq6oAAAAJ"""
Andy Andrews,76021,University of North Carolina,Missing
Ann Shola Orloff,97217,Northwestern University,"""Z22viWgAAAAJ"""
Ann Swidler,42830,"University of California, Berkeley",Missing
Anthony Orum,67360,University of Illinois-Chicago,"""nPFiWG4AAAAJ"""
Arland Thornton,14171,U Michigan,Missing
Arlie Russell Hochschild,57634,"University of California, Berkeley",Missing
Arne L Kalleberg,37898,University of North Carolina - Chapel Hill,"""A3B90V8AAAAJ"""
Arthur Alderson,71796,Indiana University,Missing
Barbara Anderson,80186,University of Michigan,Missing
Barbara Entwisle,52884,University of North Carolina - Chapel Hill,"""IhR5lJwAAAAJ"""
Barbara Reskin,72258,University of Washington,Missing
Barbara Risman,11898,University of Illinois - Chicago,Missing
Barbara Schneider,76246,Michigan State University,"""TlqrWEMAAAAJ"""
Barrett Lee,10791,Penn State University,Missing
Barrie Thorne,72478,UC Berkeley,Missing
Barry Markovsky,86795,University of South Carolina,"""ZEQu09wAAAAJ"""
Barry Wellman,67345,Netlab Network,"""_q2NODAAAAAJ"""
Becky Pettit,92523,University of Texas - Austin,Missing
Bernice Pescosolido,73000,Indiana University,"""ed_IEl4AAAAJ"""
